529201148323196000,86636967,56,129,"Y para completar la dicha, pasar la noche sin poder dormir!",4.754673,-74.046152,2014-11-03 09:19:20
529201366665682000,1180020318,13889,5,"6. #ENIGMATICOenBD 7. Santa Fe 8. Huila 9. Manuel Teodoro 10. Viera  2014/11/3 04:19 COT #trndnl http://t.co/tt5CDy7qS3",4.6564,-74.1178,2014-11-03 09:20:12
529201424790745000,87250320,76,37,"El objetiv� se cumpli�.",4.645345,-74.071128,2014-11-03 09:20:26
529201368137875000,1180020318,13889,5,"1. #SeAcercaDiciembreY 2. #sobrelacuerdafloja 3. #alexfromtarget 4. Junior 5. #WallendaLive  2014/11/3 04:19 COT http://t.co/tt5CDy7qS3",4.6564,-74.1178,2014-11-03 09:20:12
529201606815145000,218567987,415,795,"#Insomnio ??????",4.865602,-74.045636,2014-11-03 09:21:09
529201448727629000,316832285,6,73,"Hubieran sido algo muy ingl�s el zurriago como si fuera Polo, y la taza imitando una tomata de te",4.635058,-74.071452,2014-11-03 09:20:32
529201607893069000,87250320,76,37,"Sera esperar las ofertas navide�as de steam.",4.64539,-74.071087,2014-11-03 09:21:10
529201748582596000,87250320,76,37,"Pos se durmi�. http://t.co/ZnAxhzyILg",4.645395,-74.071059,2014-11-03 09:21:43
529201871219867000,113447326,264,894,"4:21",4.741245,-74.100858,2014-11-03 09:22:12
529201935891857000,87250320,76,37,"La gente que controla el alcohol a los 17 y otras mentiras de alcoh�licos.",4.645417,-74.071048,2014-11-03 09:22:28
529200732403433000,73764188,813,541,"Hace falta que te diga que me muero por tener algo contigo.",4.552408,-74.098018,2014-11-03 09:17:41
529202009896148000,87250320,76,37,"Un 31 lleno de buena m�sica.",4.645418,-74.071071,2014-11-03 09:22:45
529202008193257000,937103862,1465,1393,"Mi Amor, Mi Cielo, Mi vida, Mi Todo.",4.641482,-74.140298,2014-11-03 09:22:45
529200158408728000,87250320,76,37,"Robo de gameboy's.",4.645389,-74.071182,2014-11-03 09:15:24
529200358355369000,529766027,1589,1071,"@___AlejoBolivar poes me mato ._.",4.706555,-74.201405,2014-11-03 09:16:12
529200698706366000,227193933,5674,483,"Mam� no me esperes que no lleg�",4.645404,-74.083496,2014-11-03 09:17:33
